NAMED1,Centrum,OKATO
Алтайский край,г Барнаул,01000000000
"Федеральная территория ""Сириус""",,02000000000
Краснодарский край,г Краснодар,03000000000
Красноярский край,г Красноярск,04000000000
Приморский край,г Владивосток,05000000000
Ставропольский край,г Ставрополь,07000000000
Хабаровский край,г Хабаровск,08000000000
Амурская область,г Благовещенск,10000000000
Архангельская область,г Архангельск,11000000000
Астраханская область,г Астрахань,12000000000
Белгородская область,г Белгород,14000000000
Брянская область,г Брянск,15000000000
Владимирская область,г Владимир,17000000000
Волгоградская область,г Волгоград,18000000000
Вологодская область,г Вологда,19000000000
Воронежская область,г Воронеж,20000000000
Донецкая Народная Республика,г Донецк,21000000000
Нижегородская область,г Нижний Новгород,22000000000
Запорожская область,г Мелитополь,23000000000
Ивановская область,г Иваново,24000000000
Иркутская область,г Иркутск,25000000000
Республика Ингушетия,г Магас,26000000000
Калининградская область,г Калининград,27000000000
Тверская область,г Тверь,28000000000
Калужская область,г Калуга,29000000000
Камчатский край,г Петропавловск-Камчатский,30000000000
Кемеровская область - Кузбасс,г Кемерово,32000000000
Кировская область,г Киров,33000000000
Костромская область,г Кострома,34000000000
Республика Крым,г Симферополь,35000000000
Самарская область,г Самара,36000000000
Курганская область,г Курган,37000000000
Курская область,г Курск,38000000000
Город Санкт-Петербург город федерального значения,,40000000000
Ленинградская область,г Санкт-Петербург,41000000000
Липецкая область,г Липецк,42000000000
Луганская Народная Республика,г Луганск,43000000000
Магаданская область,г Магадан,44000000000
Город Москва столица Российской Федерации город федерального значения,,45000000000
Московская область,г Москва,46000000000
Мурманская область,г Мурманск,47000000000
Новгородская область,г Великий Новгород,49000000000
Новосибирская область,г Новосибирск,50000000000
Омская область,г Омск,52000000000
Оренбургская область,г Оренбург,53000000000
Орловская область,г Орёл,54000000000
Пензенская область,г Пенза,56000000000
Пермский край,г Пермь,57000000000
Псковская область,г Псков,58000000000
Ростовская область,г Ростов-на-Дону,60000000000
Рязанская область,г Рязань,61000000000
Саратовская область,г Саратов,63000000000
Сахалинская область,г Южно-Сахалинск,64000000000
Свердловская область,г Екатеринбург,65000000000
Смоленская область,г Смоленск,66000000000
Город федерального значения Севастополь,,67000000000
Тамбовская область,г Тамбов,68000000000
Томская область,г Томск,69000000000
Тульская область,г Тула,70000000000
Тюменская область,г Тюмень,71000000000
Ульяновская область,г Ульяновск,73000000000
Херсонская область,г Херсон,74000000000
Челябинская область,г Челябинск,75000000000
Забайкальский край,г Чита,76000000000
Чукотский автономный округ,г Анадырь,77000000000
Ярославская область,г Ярославль,78000000000
Республика Адыгея (Адыгея),г Майкоп,79000000000
Республика Башкортостан,г Уфа,80000000000
Республика Бурятия,г Улан-Удэ,81000000000
Республика Дагестан,г Махачкала,82000000000
Кабардино-Балкарская Республика,г Нальчик,83000000000
Республика Алтай,г Горно-Алтайск,84000000000
Республика Калмыкия,г Элиста,85000000000
Республика Карелия,г Петрозаводск,86000000000
Республика Коми,г Сыктывкар,87000000000
Республика Марий Эл,г Йошкар-Ола,88000000000
Республика Мордовия,г Саранск,89000000000
Республика Северная Осетия-Алания,г Владикавказ,90000000000
Карачаево-Черкесская Республика,г Черкесск,91000000000
Республика Татарстан (Татарстан),г Казань,92000000000
Республика Тыва,г Кызыл,93000000000
Удмуртская Республика,г Ижевск,94000000000
Республика Хакасия,г Абакан,95000000000
Чеченская Республика,г Грозный,96000000000
Чувашская Республика - Чувашия,г Чебоксары,97000000000
Республика Саха (Якутия),г Якутск,98000000000
Еврейская автономная область,г Биробиджан,99000000000
